task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,43,16,0,3,39,3,39,0,1,4,43,1.000000
1,0,1,15,43,14,1,9,24,14,28,0,1,15,43,1.166667
2,1,2,7,16,29,0,5,9,5,9,0,1,6,15,1.000000
3,1,2,11,27,79,0,9,16,9,16,0,1,10,26,1.000000
4,2,3,3,44,7,0,0,39,0,41,0,1,1,42,1.051282
5,2,3,8,22,30,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,7,16,37,0,3,9,3,9,0,1,4,13,1.000000
7,3,4,12,22,51,0,8,10,8,10,0,1,9,19,1.000000
8,4,5,13,25,46,0,8,12,8,12,0,1,9,21,1.000000
9,4,5,6,16,41,0,1,10,1,10,0,1,2,12,1.000000
10,5,6,21,35,47,2,9,7,15,13,1,1,16,30,1.857143
11,5,6,9,21,14,0,3,12,3,12,0,1,4,16,1.000000
12,6,7,7,8,20,0,0,1,0,1,0,1,1,2,1.000000
13,6,7,7,45,54,0,0,36,0,38,0,1,1,39,1.055556
14,7,8,19,39,13,0,11,13,11,19,1,1,12,32,1.461538
15,7,8,14,30,63,0,6,16,6,16,0,1,7,23,1.000000
16,8,9,14,24,56,0,5,8,5,10,0,1,6,16,1.250000
17,8,9,9,39,17,0,0,30,0,30,0,1,1,31,1.000000
18,9,10,10,28,11,0,0,16,0,18,0,1,1,19,1.125000
19,9,10,33,59,40,5,10,16,22,26,1,1,24,50,1.625000
20,10,11,23,36,33,1,12,13,11,13,1,1,13,26,1.000000
21,10,11,11,13,26,0,0,2,0,2,0,1,1,3,1.000000
22,11,12,15,21,36,0,3,5,3,5,1,1,4,10,1.000000
23,11,12,12,28,8,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,16,32,62,0,3,16,3,16,0,1,4,20,1.000000
25,12,13,13,32,38,0,0,18,0,18,1,1,1,20,1.000000
26,13,14,15,24,21,0,1,9,1,9,0,1,2,11,1.000000
27,13,14,20,37,52,1,5,13,6,17,0,1,7,24,1.307692
28,14,15,24,48,53,1,9,14,9,24,0,1,10,34,1.714286
29,14,15,15,34,47,0,0,19,0,19,0,1,1,20,1.000000
30,15,16,19,36,20,0,2,17,2,17,1,1,4,21,1.000000
31,15,16,18,49,49,0,2,31,2,31,0,1,3,34,1.000000
32,16,17,19,23,58,0,2,4,2,4,0,1,3,7,1.000000
33,16,17,27,50,26,3,4,15,10,23,0,1,11,34,1.533333
34,17,18,18,47,77,0,0,27,0,29,0,1,1,30,1.074074
35,17,18,20,40,40,0,2,18,2,20,0,1,3,23,1.111111
